"","ID_FloraAlpina","ID","SpeciesName","CompleteName","Repr_mode","Repr_mode_summ","GS","1C","Ploidy","Ploidy_summ","PloidyEvenOdd","Chr.number","GS_per_chrm","Altitude","elevation_Ozenda","Longevity","BiologicalForm","Endemic","Indigenous","Distribution","Sect_Occ","Collinaire","Montane","Subalpine","Alpine","Nival","Init.month","Tot.months","End.month","Phytosociology","Habitat","Ca","Ca.Si","Si","pH","N","Water","w"
"Tephroseris_integrifolia","124.49.1.0","A38","Tephroseris_integrifolia","Tephroseris integrifolia (L.) Holub","Sexual","Sexual",9.56,2.39,"4x","4x","Even",48,0.199166666666667,1242,1250,"v","H","N","Y","Eurosib.",8,2,2,2,1,0,5,3,7,"Festuco-Brometea","6.2, (6.7, 7.4.2)",2,1,0,"bas","low","Dry",0
"Jacobaea_aquatica","124.48.18.0","CH73","Jacobaea_aquatica","Senecio aquaticus Hill","Sexual","Sexual",4.43,1.1075,"4x","4x","Even",40,0.11075,746,583.333333333333,"b, (v)","H","N","Y","W-Eur.",34,2,1,0,0,0,6,5,10,"Molinietalia caeruleae","1.4, 5.1, 6.3.2, (9.2.2)",2,2,1,"neu","hig","Wet",1
"Calendula_tripterocarpa","124.51","FR604","Calendula_tripterocarpa","Calendula arvensis L.","Sexual","Sexual",3.16,1.05333333333333,"3x","3x","Odd",30,0.105333333333333,1233,350,"a, (b)","T, (H)","N","N","Medit.",14,2,0,0,0,0,4,9,12,"Stellarietea mediae","2.1, (2.2)",2,2,0,"bas","med","veryDry",0
"Carlina_acanthifolia","124.52.5.0","FR713","Carlina_acanthifolia","Carlina acanthifolia All.","Sexual","Sexual",11.38,5.69,"2x","2x","Even",20,0.569,1133,1050,"v","H","N","Y","SW-Eur.-Mont.",13,2,2,2,0,0,7,3,9,"Ononidetalia","(3.3), 6.2, (6.7, 9.1.1, 9.1.2)",2,2,1,"neu","med","veryDry",0
"Carlina_acaulis","124.52.4.1","FR712","Carlina_acaulis","Carlina acaulis L. subsp. acaulis","Sexual","Sexual",10.875,5.4375,"2x","2x","Even",20,0.54375,1582.5,1400,"v","H","N","Y","SE-Eur.-Mont.",35,1,2,2,1,0,6,4,9,"Mesobromion","(2.2), 6.2, (6.4?), 6.5.1, (6.7, 7.1, 7.2, 8.2, 9.1.1)",2,2,1,"neu","low","Dry",0
"Jacobaea_erucifolia","124.48.20.0","FR349","Jacobaea_erucifolia","Senecio erucifolius L.","Sexual","Sexual",4.785,1.19625,"4x","4x","Even",40,0.119625,1389.5,700,"v","H","N","Y","Eurasiat.",43,2,2,0,0,0,6,4,9,"Artemisietea vulgaris","2.1, (2.6, 3.3, 3.5), 6.2, 6.3, 6.6, (7.4.2, 9.2.2)",2,2,1,"bas","med","Dry",1
"Jacobaea_alpina_subsp._alpina","124.48.15.0","CH117","Jacobaea_alpina_subsp._alpina","Senecio alpinus (L.) Scop.","Sexual","Sexual",4.63,1.1575,"4x","4x","Even",40,0.11575,1863,1470,"v","H","N","Y","Alp./Apen.",34,1,1,2,1,0,7,3,9,"Rumicion alpini","2.4, 4.1, (6.3.1), 7.2, 8.1",2,2,1,"bas","hig","Wet",1
"Xeranthemum_annuum","124.53.1.0","CH161","Xeranthemum_annuum","Xeranthemum annuum L.","Sexual","Sexual",2.21,1.105,"2x","2x","Even",12,0.184166666666667,920,350,"a","T","N","N","S-Eur./W-Asiat.",2,2,0,0,0,0,6,4,9,"NEO_Artemisietea vulgaris","2.2, (2.5.2), 6.2; (2.9.2)",2,2,2,"neu","low","veryDry",0
"Senecio_doronicum","124.48.14.1","FR356","Senecio_doronicum","Senecio doronicum (L.) L. subsp. doronicum","Sexual","Sexual",16.072,2.08058333333333,"8x","Poly","Even",77.3333333333333,0.208058333333333,2135,1890,"v","H","N","Y","S-Eur.-Mont.",45,0,1,2,2,0,7,2,8,"Elyno-Seslerietea variae","(3.2), 3.3, 6.5, 7.1, 8.2",2,2,1,"bas","low","Average",0
"Hieracium_froelichianum","124.99","FR120","Hieracium_froelichianum","Hieracium bifidum aggr.","Apomictic","Apomictic",11.01,3.67,"3x","3x","Odd",27,0.407777777777778,1985,1550,"v","H","N","Y","Eur.",51,1,2,2,2,0,6,3,8,"Seslerion variae","(2.5.2), 3.2, 3.3, 6.2, 6.5.1, 6.7, (7.1, 9.1.1, 9.1.2, 9.2.3)",2,2,1,"bas","low","Dry",0
"Hieracium_glaucopsis","124.99","FR328","Hieracium_glaucopsis","Hieracium villosum Jacq.","Apomictic","Apomictic",11.44,3.81333333333333,"3x","3x","Odd",27,0.423703703703704,1890,1890,"v","H","N","Y","SE-Eur.-Mont.",49,0,1,2,2,0,7,2,8,"Elyno-Seslerietea variae","(3.2), 3.3, (3.4), 6.5.1, (7.1, 7.2, 8.2)",2,1,0,"bas","low","Average",0
"Hieracium_lactucella","124.99.7.0","FR91","Hieracium_lactucella","Hieracium lactucella Wallr.","Sexual","Sexual",4.81,2.405,"2x","2x","Even",18,0.267222222222222,2184,1250,"v","H","N","Y","Eur.",51,2,2,2,1,0,5,5,9,"Nardetea strictae","(2.2, 2.5.1, 2.7, 3.3, 3.5, 5.1), 6.2, 6.3, 6.4, 6.5.1, (7.1)",2,2,2,"aci","low","Average",1
"Hieracium_valdepilosum","124.99","A124","Hieracium_valdepilosum","Hieracium villosum Jacq.","Apomictic","Apomictic",11.34,3.78,"3x","3x","Odd",27,0.42,1954,1890,"v","H","N","Y","SE-Eur.-Mont.",49,0,1,2,2,0,7,2,8,"Elyno-Seslerietea variae","(3.2), 3.3, (3.4), 6.5.1, (7.1, 7.2, 8.2)",2,1,0,"bas","low","Average",0
"Schlagintweitia_huteri_subsp._lantoscana","124.99","FR667","Schlagintweitia_huteri_subsp._lantoscana","Hieracium intybaceum All.","Sexual","Sexual",7.25,3.625,"2x","2x","Even",18,0.402777777777778,2354,1890,"v","H","S","Y","Alp.",29,0,1,2,2,0,7,2,8,"Androsacenion vandellii","(2.5.1, 3.1), 3.2, 3.3, (6.5.1, 7.1, 9.1.2)",0,1,2,"aci","low","Dry",0
"Hieracium_ramosissimums_subsp._lactucifolium","124.99","FR580","Hieracium_ramosissimums_subsp._lactucifolium","Hieracium amplexicaule L.","Apomictic","Apomictic",10.94,3.64666666666667,"3x","3x","Odd",27,0.405185185185185,2100,1400,"v","H","N","Y","Medit.-Mont.",52,1,2,2,1,0,5,4,8,"Asplenietea trichomanis","3.2, (3.3, 6.5.1)",2,2,2,"neu","low","Dry",0
"Hieracium_cydoniifolium","124.99","FR20","Hieracium_cydoniifolium","Hieracium villosum Jacq.","Apomictic","Apomictic",11.88,3.96,"3x","3x","Odd",27,0.44,1847,1890,"v","H","N","Y","SE-Eur.-Mont.",49,0,1,2,2,0,7,2,8,"Elyno-Seslerietea variae","(3.2), 3.3, (3.4), 6.5.1, (7.1, 7.2, 8.2)",2,1,0,"bas","low","Average",0
"Crepis_terglouensis","124.97.3.0","A88","Crepis_terglouensis","Crepis terglouensis (Hacq.) A. Kern.","Sexual","Sexual",4.73,2.365,"2x","2x","Even",12,0.394166666666667,2270,2216.66666666667,"v","H","Y","Y","E-Alp.",23,0,0,1,2,0,7,2,8,"Thlaspion rotundifolii","(3.2), 3.3, (3.4, 6.5)",2,1,0,"bas","low","Average",0
"Crepis_vesicaria","124.97.27.1","FR432","Crepis_vesicaria","Crepis vesicaria L. subsp. vesicaria","Apomictic","Mixed",3.4675,1.73375,"2x","2x","Even",8,0.4334375,1063,583.333333333333,"a, b","T, H","N","Y","Medit.",8,2,1,0,0,0,5,3,7,"Sisymbrietalia","2.1, 2.2",2,2,2,"neu","hig","veryDry",0
"Crepis_capillaris","124.97.24.0","CH76","Crepis_capillaris","Crepis capillaris Wallr.","Sexual","Sexual",4.43,2.215,"2x","2x","Even",6,0.738333333333333,423,910,"a, b","T, H","N","Y","Eur.",49,2,2,1,0,0,6,4,9,"Cynosurion","2.1, 2.2, (2.5), 2.7, (3.2), 6.3.1",2,2,2,"neu","med","Average",0
"Pilosella_glacialis","124.99.8.0","FR107","Pilosella_glacialis","Hieracium angustifolium Hoppe","Sexual","Sexual",4.68,2.34,"2x","2x","Even",18,0.26,2119,2100,"v","H","Y","Y","Alp.",31,0,0,2,2,0,7,2,8,"Juncetea trifidi","(3.3), 6.5.1, (7.1)",1,2,2,"aci","low","Dry",0
"Schlagintweitia_intybacea","124.99.32.0","CH123","Schlagintweitia_intybacea","Hieracium intybaceum All.","Sexual","Sexual",7.68,3.84,"2x","2x","Even",18,0.426666666666667,2383,1890,"v","H","S","Y","Alp.",29,0,1,2,2,0,7,2,8,"Androsacenion vandellii","(2.5.1, 3.1), 3.2, 3.3, (6.5.1, 7.1, 9.1.2)",0,1,2,"aci","low","Dry",0
"Hieracium_prenanthoides","124.99.37.0","FR572","Hieracium_prenanthoides","Hieracium prenanthoides aggr.","Sexual","Sexual",7.32,3.66,"2x","2x","Even",18,0.406666666666667,1380,1750,"v","H","N","Y","Eur./W-Asiat.",48,0,1,2,1,0,6,3,8,"Calamagrostietalia villosae","(2.7), 6.3.1, (7.1), 7.2, (7.4.2), 8.1, 8.2, (9.1.2, 9.2.3)",2,2,2,"neu","hig","Average",0
"Hieracium_amplexicaule","124.99.31.0","FR135","Hieracium_amplexicaule","Hieracium amplexicaule L.","Apomictic","Apomictic",10.957,3.65233333333333,"3x","3x","Odd",27,0.405814814814815,1953.5,1400,"v","H","N","Y","Medit.-Mont.",52,1,2,2,1,0,5,4,8,"Asplenietea trichomanis","3.2, (3.3, 6.5.1)",2,2,2,"neu","low","Dry",0
"Crepis_rhaetica","124.97.6.0","CH153","Crepis_rhaetica","Crepis rhaetica Hegetschw.","Sexual","Sexual",8.73,4.365,"2x","2x","Even",8,1.09125,2788,2575,"v","H","Y","Y","Alp.",8,0,0,1,2,1,7,2,8,"Drabion hoppeanae","3.2, 3.3, 6.5",2,2,0,"bas","low","Wet",0
"Crepis_aurea","124.97.7.0","FR546","Crepis_aurea","Crepis aurea (L.) Cass.","Sexual","Sexual",4.09,2.045,"2x","2x","Even",10,0.409,2601,1890,"v","H","N","Y","S-Eur.-Mont.",45,0,1,2,2,0,6,4,9,"Poion alpinae","2.4, (2.5, 3.3), 6.3.1, 6.5.1, (6.6)",2,2,2,"neu","hig","Average",0
"Pilosella_hoppeana","124.99.2.0","A78","Pilosella_hoppeana","Hieracium hoppeanum Schult.","Sexual","Sexual",3.81,1.905,"2x","2x","Even",18,0.211666666666667,2149,1400,"v","H","N","Y","SE-Eur.-Mont./SW-Asiat.",31,1,2,2,1,0,5,4,8,"Juncetea trifidi","6.2, 6.5.1, (6.7, 7.4.2)",2,2,2,"neu","low","Dry",0
"Hieracium_humile","124.99.30.0","FR427","Hieracium_humile","Hieracium humile Jacq.","Apomictic","Apomictic",10.79,3.59666666666667,"3x","3x","Odd",27,0.39962962962963,1514,1400,"v","H","N","Y","S-Eur.-Mont.",46,1,2,2,1,0,6,3,8,"Potentilletalia caulescentis","3.2, (3.3, 6.2)",2,1,0,"bas","low","Dry",0
"Hieracium_villosum","124.99.24.0","FR500","Hieracium_villosum","Hieracium villosum Jacq.","Apomictic","Apomictic",11.5713333333333,3.85711111111111,"3x","3x","Odd",27,0.428567901234568,1880.66666666667,1890,"v","H","N","Y","SE-Eur.-Mont.",49,0,1,2,2,0,7,2,8,"Elyno-Seslerietea variae","(3.2), 3.3, (3.4), 6.5.1, (7.1, 7.2, 8.2)",2,1,0,"bas","low","Average",0
"Pilosella_piloselloides","124.99.10.0","IT28","Pilosella_piloselloides","Hieracium piloselloides Vill.","Sexual","Sexual",9.45,2.3625,"4x","4x","Even",36,0.2625,243,1050,"v","H","N","Y","E-Eur.",50,2,2,2,0,0,5,4,8,"Epilobietalia fleischeri","2.2, 2.5.2, (3.1, 3.2, 3.3, 3.5), 6.2, (6.7, 7.4.2, 9.1.1)",2,2,1,"bas","low","Dry",0
"Tolpis_staticifolia","124.99.1.0","FR218","Tolpis_staticifolia","Hieracium staticifolium All.","Sexual","Sexual",5.147,2.5735,"2x","2x","Even",18,0.285944444444444,1831,1550,"v","H","N","Y","S-Eur.-Mont.",48,1,2,2,2,0,6,3,8,"Epilobion fleischeri","2.5, (3.2), 3.3, (7.5, 9.1.1)",2,2,2,"neu","low","Dry",1
"Hieracium_lawsonii","124.99.23.0","FR700","Hieracium_lawsonii","Hieracium lawsonii Vill.","Apomictic","Apomictic",11.03,3.67666666666667,"3x","3x","Odd",27,0.408518518518519,2560,1190,"v","H","N","Y","SW-Eur.-Mont.",10,1,2,2,0,0,6,3,8,"Potentilletalia caulescentis","3.2, (3.3)",2,2,1,"neu","low","Dry",0
"Hieracium_piliferum","124.99.26.0","FR322a","Hieracium_piliferum","Hieracium piliferum aggr.","Apomictic","Apomictic",11.3055,3.7685,"3x","3x","Odd",27,0.418722222222222,1940.5,2216.66666666667,"v","H","N","Y","S-Eur.-Mont.",39,0,0,1,2,0,7,2,8,"Caricetalia curvulae","(3.2, 3.3), 6.5, 7.1",0,1,2,"aci","low","Dry",0
"Crepis_pontana","124.97.9.0","A129","Crepis_pontana","Crepis bocconei P. D. Sell","Sexual","Sexual",12.64,6.32,"2x","2x","Even",10,1.264,2087,1750,"v","H","N","Y","S-Eur.-Mont.",35,0,1,2,1,0,6,3,8,"Caricion ferrugineae","(2.6), 6.5.1, (7.1), 7.2",2,2,1,"bas","med","Average",0
"Hieracium_tomentosum","124.99.28.0","FR231","Hieracium_tomentosum","Hieracium tomentosum L.","Apomictic","Apomictic",10.95,3.65,"3x","3x","Odd",27,0.405555555555556,1421,1050,"v","H","N","Y","W-Alp./Apen.",15,2,2,2,0,0,5,3,7,"Potentillion caulescentis","3.2, (3.3), 6.2, 6.5.1, 9.1.1",2,1,0,"neu","low","veryDry",0
"Hieracium_alpinum","124.99.29.0","MB78","Hieracium_alpinum","Hieracium alpinum L.","Apomictic","Apomictic",12.03,4.01,"3x","3x","Odd",27,0.445555555555556,2036,2183.33333333333,"v","H","N","Y","Arct.-Alp.",44,0,1,2,2,1,7,2,8,"Caricetalia curvulae","(3.2, 3.3), 6.5.1, 7.1",0,1,2,"aci","low","Average",0
"Hieracium_bifidum","124.99.18.0","CH42","Hieracium_bifidum","Hieracium bifidum aggr.","Apomictic","Apomictic",10.58,3.52666666666667,"3x","3x","Odd",27,0.391851851851852,348,1550,"v","H","N","Y","Eur.",51,1,2,2,2,0,6,3,8,"Seslerion variae","(2.5.2), 3.2, 3.3, 6.2, 6.5.1, 6.7, (7.1, 9.1.1, 9.1.2, 9.2.3)",2,2,1,"bas","low","Dry",0
"Pilosella_peleteriana","124.99.3.0","FR96","Pilosella_peleteriana","Hieracium peletierianum Mérat","Sexual","Sexual",3.595,1.7975,"2x","2x","Even",18,0.199722222222222,2044,1250,"v","H","N","Y","W-Eur.",16,2,2,2,1,0,5,4,8,"Sedo-Scleranthetalia","(2.2, 3.1, 3.2), 3.3, 6.2, 6.5.1, (6.7, 7.1, 9.1.1, 9.1.2)",0,1,2,"aci","low","Dry",0
"Hieracium_murorum","124.99.16.0","IT11","Hieracium_murorum","Hieracium murorum aggr.","Apomictic","Apomictic",10.933,3.64433333333333,"3x","3x","Odd",27,0.404925925925926,1747.5,1250,"v","H","N","Y","Eur./W-Asiat.",53,2,2,2,1,0,5,4,8,"Carpino-Fagetea sylvaticae","(2.5.2), 2.7, 3.2, 3.3, (3.4, 3.5, 6.5, 7.1, 7.2), 7.4.2, 9.1, 9.2, 9.3",2,2,2,"neu","med","Dry",0
"Achillea_erba-rotta","124.31.2.1","FR673","Achillea_erba-rotta","Achillea erba-rotta All. subsp. erba-rotta","Sexual","Sexual",7.99,3.995,"2x","2x","Even",18,0.443888888888889,2465,2100,"v","H","Y","Y","W-Alp.",6,0,0,2,2,0,7,2,8,"Androsacion alpinae","3.2, 3.3, 6.5",0,1,2,"aci","low","Average",0
"Pilosella_officinarum","124.99.4.0","FR447","Pilosella_officinarum","Hieracium pilosella L.","Apomictic","Apomictic",7.25,1.8125,"4x","4x","Even",36,0.201388888888889,997,1400,"v","H","N","Y","Eurosib.",54,2,2,2,2,0,5,6,10,"Festuco-Brometea","2.2, 2.5.2, (2.7), 3.1, (3.2, 3.3), 3.5, (5.2), 6.2, (6.3.1), 6.4, 6.5.1, (7.1, 7.4.2), 9.1.1",2,2,2,"neu","low","Dry",0
"Achillea_oxyloba","124.31.1.0","A93","Achillea_oxyloba","Achillea oxyloba (DC.) Sch. Bip.","Sexual","Sexual",7.94,3.97,"2x","2x","Even",18,0.441111111111111,2219,2183.33333333333,"v","H","Y","Y","E-Alp.",10,0,1,2,2,1,7,3,9,"Thlaspietalia rotundifolii","(2.5, 3.2), 3.3, (6.5)",2,1,0,"bas","low","Average",0
"Achillea_nobilis","124.31.19.1","CH163","Achillea_nobilis","Achillea nobilis L. subsp. nobilis","Sexual","Sexual",5.11,2.555,"2x","2x","Even",18,0.283888888888889,538,350,"v","H","N","Y","S-Eur./W-Asiat.",14,2,0,0,0,0,7,3,9,"Festuco-Brometea","(2.1.2, 2.2, 3.2, 3.3), 6.2, (6.3.1, 6.7, 7.4.2)",2,2,1,"bas","low","Dry",0
"Achillea_nana","124.31.3.0","FR539","Achillea_nana","Achillea nana L.","Sexual","Sexual",7.87,3.935,"2x","2x","Even",18,0.437222222222222,2525.5,2575,"v","H","Y","Y","W-Alp.",24,0,0,1,2,1,7,3,9,"Drabion hoppeanae","(2.5, 3.2), 3.3, (6.5)",1,1,2,"neu","low","Average",0
"Crepis_pygmaea","124.97.2.0","FR278","Crepis_pygmaea","Crepis pygmaea L.","Sexual","Sexual",6.325,3.1625,"2x","2x","Even",12,0.527083333333333,2576.5,1890,"v","G, H","N","Y","SW-Eur.-Mont.",19,0,1,2,2,0,7,2,8,"Thlaspietalia rotundifolii","(3.2), 3.3",2,1,0,"bas","low","Average",0
"Cota_triumfettii","124.30.8.0","CH75","Cota_triumfettii","Anthemis triumfettii (L.) DC.","Sexual","Sexual",11.82,5.91,"2x","2x","Even",18,0.656666666666667,550,700,"(a), b, v","(T), H, (C)","N","Y","S-Eur.",9,2,2,0,0,0,6,3,8,"Geranion sanguinei","(3.2, 3.3, 6.2), 6.7, 7.4.2, 9.3",1,1,2,"neu","med","veryDry",0
"Crepis_tectorum","124.97.19.0","CH167","Crepis_tectorum","Crepis tectorum L.","Sexual","Sexual",4.5,2.25,"2x","2x","Even",8,0.5625,324,700,"a","T","N","Y","Eurasiat.",19,2,2,0,0,0,5,4,8,"Sisymbrion","2.1, 2.2, (2.5.2), 3.1, (3.2)",2,2,2,"neu","hig","veryDry",0
"Scorzonera_humilis","124.85.6.0","CH44","Scorzonera_humilis","Scorzonera humilis L.","Sexual","Sexual",12.48,6.24,"2x","2x","Even",14,0.891428571428571,978,910,"v","H","N","Y","Eur.",26,2,2,1,0,0,5,3,7,"Molinietalia caeruleae","5.1, 6.3.2, 6.4, (6.7, 7.1, 9.1.1)",2,2,1,"neu","low","Average",1
"Prenanthes_purpurea","124.91.1.0","FR527","Prenanthes_purpurea","Prenanthes purpurea L.","Sexual","Sexual",8.17,4.085,"2x","2x","Even",18,0.453888888888889,1289,1050,"v","H","N","Y","Eur.",55,2,2,2,0,0,7,3,9,"Fagetalia sylvaticae","(2.5), 2.6, 4.2, (7.1), 7.2, (8.1, 8.2, 9.1.1), 9.1.2, (9.2.2), 9.2.3, (9.2.4), 9.2.5",2,2,2,"neu","med","Average",0
"Taraxacum_officinale","124.93.15.0","FR402","Taraxacum_officinale","Taraxacum officinale aggr.","Apomictic","Apomictic",2.8,0.933333333333333,"3x","3x","Odd",24,0.116666666666667,1291,1250,"v","H","N","Y","Eurosib.(-Cosmop.)",55,2,2,2,1,0,4,8,11,"Arrhenatheretalia elatioris","2.1, 2.2, (2.3, 2.5), 2.6, (3.3, 4.1, 4.2, 5.1), 6.3, (6.5.1, 6.7, 9.2.2)",2,2,2,"neu","hig","Average",0
"Lactuca_serriola","124.89.3.0","FR152","Lactuca_serriola","Lactuca serriola L.","Sexual","Sexual",6.12,1.53,"4x","4x","Even",18,0.34,758.5,700,"a, b","T, H","N","Y","Eurasiat.",48,2,2,0,0,0,7,3,9,"Onopordetalia acanthii","2.1, 2.2, 2.5.2, (3.2), 3.5, 6.7, (7.4.2, 9.1.1)",2,2,1,"bas","med","Dry",0
"Cicerbita_alpina","124.90.1.0","A85","Cicerbita_alpina","Cicerbita alpina (L.) Wallr.","Sexual","Sexual",12,6,"2x","2x","Even",17,0.708020833333333,1537.5,1516.66666666667,"v","H","N","Y","Eur.-Mont.",47,0,1,2,0,0,6,3,8,"Adenostylion","2.6, 4.2, (6.3.1), 7.2, (7.4.2), 8.1, (8.2, 9.1.2, ",2,2,2,"neu","hig","Wet",0
"Lactuca_perennis","124.89.7.0","FR117","Lactuca_perennis","Lactuca perennis L.","Sexual","Sexual",4.865,2.4325,"2x","2x","Even",18,0.270277777777778,1852,910,"v","H","N","Y","Eur.",38,2,2,1,0,0,5,3,7,"Festuco-Brometea","(2.1, 2.2), 3.1, 3.2, 3.3, (3.5), 6.2, (6.7, 9.1.1, 9.3)",2,2,1,"bas","low","veryDry",0
"Crepis_paludosa","124.97.1.0","CH112","Crepis_paludosa","Crepis paludosa (L.) Moench","Sexual","Sexual",9.42,4.71,"2x","2x","Even",12,0.785,1262.5,1190,"v","H","N","Y","Eurasiat.",52,1,2,2,0,0,6,2,7,"Calthion palustris","(3.2), 4.1, 4.2, 5.1, 6.3.2, 7.2, 9.2.1, 9.2.2",2,2,2,"neu","med","Wet",1
"Crepis_conyzifolia","124.97.10.0","A122","Crepis_conyzifolia","Crepis conyzifolia (Gouan) A. Kern.","Sexual","Sexual",7.16,3.58,"2x","2x","Even",8,0.895,2003,1750,"v","H","N","Y","Eurasiat.",42,0,1,2,1,0,6,4,9,"Festucion variae","(2.6, 3.2), 6.3.1, 6.5.1, (6.7, 7.1), 7.2, (9.1.2)",1,1,2,"aci","med","Average",0
"Crepis_pyrenaica","124.97.11.0","FR494","Crepis_pyrenaica","Crepis pyrenaica (L.) Greuter","Sexual","Sexual",5.145,2.5725,"2x","2x","Even",8,0.643125,1906,1516.66666666667,"v","H","N","Y","S-Eur.-Mont.",48,0,1,2,0,0,6,3,8,"Calamagrostietalia villosae","(2.6), 6.3.1, 6.7, (7.1), 7.2, 8.2, (9.1.2), 9.2.3, 9.2.5",2,2,2,"bas","hig","Wet",0
"Lactuca_muralis","124.92.1.0","FR159","Lactuca_muralis","Mycelis muralis (L.) Dumort.","Sexual","Sexual",3.89,1.945,"2x","2x","Even",18,0.216111111111111,1510.5,910,"v","H","N","Y","Eurasiat.",54,2,2,1,0,0,7,3,9,"Carpino-Fagetea sylvaticae","(2.2), 2.3, 2.5.1, 2.6, (3.2, 7.2, 7.4.2), 9.1.2, (9.2.2), 9.2.3, 9.2.5, (9.3), 9.5",2,2,2,"neu","hig","Average",0
"Chondrilla_juncea","124.94.1.0","CH133","Chondrilla_juncea","Chondrilla juncea L.","Apomictic","Mixed",3.37,1.12333333333333,"3x","3x","Odd",15,0.224666666666667,600,700,"v","H","N","Y","Medit.",30,2,2,0,0,0,6,3,8,"Convolvulo-Agropyrion repentis","2.1, 2.2, (2.5.2, 3.1, 3.2), 6.2, (6.7, 9.1.1)",2,2,1,"neu","med","veryDry",0
"Tragopogon_pratensis","124.86.4.3","FR316","Tragopogon_pratensis","Tragopogon pratensis subsp. orientalis (L.) $Celak.","Sexual","Sexual",5.30425,2.652125,"2x","2x","Even",12,0.442020833333333,1906.75,910,"b, v","T, H","N","Y","Eurasiat.",46,2,2,1,0,0,5,3,7,"Arrhenatheretalia elatioris","(2.2, 6.2), 6.3.1",2,2,2,"neu","med","Dry",0
"Tragopogon_dubius","124.86.3.0","FR722","Tragopogon_dubius","Tragopogon dubius Scop.","Sexual","Sexual",4.96,2.48,"2x","2x","Even",12,0.413333333333333,919,910,"b","H","N","Y","Medit.",27,2,2,1,0,0,5,2,6,"Convolvulo-Agropyrion repentis","2.1, 2.2, (2.5.2, 3.2, 3.5), 6.2, (6.7)",2,2,2,"neu","hig","veryDry",0
"Achillea_millefolium","124.31.11.1","FR253","Achillea_millefolium","Achillea millefolium L. subsp. millefolium","Sexual","Sexual",15.6018571428571,2.60030952380952,"6x","Poly","Even",54,0.28892328042328,1856.71428571429,1250,"v","H","N","Y","Eurosib.",55,2,2,2,1,0,5,5,9,"Molinio-Arrhenatheretea","2.1-2, (2.5.2), 2.4, 2.6, 2.8, (3.1, 3.3, 3.5), 6.2-3, (6.5.1, 6.7. 7.1-2, 7.4.2, 9.1.1-2, 9.2.3-4)",2,2,2,"neu","med","Dry",0
"Tripleurospermum_inodorum","124.32.2.0","FR573","Tripleurospermum_inodorum","Tripleurospermum inodorum (L.) Sch. Bip.","Sexual","Sexual",10.175,2.54375,"4x","4x","Even",36,0.282638888888889,1176.5,1050,"a, b, v","T, H","N","Y","Eur.(-Cosmop.)",48,2,2,2,0,0,6,5,10,"Stellarietea mediae","2.1, 2.2",2,2,2,"neu","hig","Average",1
"Achillea_clavennae","124.31.6.0","A127","Achillea_clavennae","Achillea clavenae L.","Sexual","Sexual",7.52,3.76,"2x","2x","Even",18,0.417777777777778,2282,1890,"v","H","N","Y","E-Alp./Illyr.",21,0,1,2,2,0,6,3,8,"Seslerion variae","3.2, 3.3, 6.5",2,1,0,"bas","low","Dry",0
"Picris_hieracioides","124.84.2.1","IT70","Picris_hieracioides","Picris hieracioides L. subsp. hieracioides","Sexual","Mixed",2.83333333333333,1.41666666666667,"2x","2x","Even",10,0.283333333333333,885,910,"b, v","H","N","Y","Eurasiat.",34,2,2,1,0,0,6,5,10,"Dauco-Melilotion","2.1, 2.2, 2.5.2, 6.2, 6.3.1, (6.7)",2,2,2,"bas","hig","Dry",0
"Erigeron_atticus","124.6.4.0","FR286","Erigeron_atticus","Erigeron atticus Vill.","Sexual","Sexual",3.04,1.52,"2x","2x","Even",18,0.168888888888889,2378,1750,"v","H","N","Y","S-Eur.-Mont.",37,0,1,2,1,0,7,3,9,"Caricion ferrugineae","(3.3, 6.3.1), 6.5.1",2,2,2,"neu","low","Average",0
"Cirsium_erisithales","124.61.8.0","A23","Cirsium_erisithales","Cirsium erisithales (Jacq.) Scop.","Sexual","Sexual",2.44,1.22,"2x","2x","Even",34,0.0717647058823529,394.5,1190,"v","H","N","Y","S-Eur.-Mont.",34,1,2,2,0,0,6,3,8,"Arunco-Petasition","2.6, (3.3), 4.1, 4.2, (6.2), 6.3.1, (6.5.1, 6.7), 7.4.2, 8.2, (9.1.1, 9.1.2, 9.2.2, 9.2.3, 9.2.4)",2,1,0,"bas","med","Average",1
"Cirsium_alsophilum","124.61.7.0","IT54","Cirsium_alsophilum","Cirsium montanum (Willd.) Spreng.","Sexual","Sexual",2.54,1.27,"2x","2x","Even",34,0.0747058823529412,1395.5,1190,"v","H","N","Y","S-Eur.-Mont.",19,1,2,2,0,0,6,3,8,"Mulgedio-Aconitetea","1.4, 2.5.1, 2.6, 4.2, (6.3.2), 6.7, 7.2, 7.4.1, 8.1, 9.1.2, 9.2.2, 9.2.3",2,2,2,"neu","hig","Wet",0
"Erigeron_karvinskianus","124.6.2.0","CH39","Erigeron_karvinskianus","Erigeron karvinskianus DC.","Apomictic","Apomictic",4.16,1.04,"4x","4x","Even",36,0.115555555555556,881,350,"v","H","N","N","N-Am.",16,2,0,0,0,0,4,9,12,"NEO_Parietarietalia judaicae","3.2; (2.9.2)",2,2,2,"neu","low","Dry",0
