ID_FloraAlpina;ID_Family;Family;ID_Genus;Genus;ID_Species;Species;ID_Subspecies;Subspecies;Longevity;BiologicalForm;Endemic;Indigenous;Distribution;CompleteName;Phenology_Jan;Phenology_Feb;Phenology_Mar;Phenology_Apr;Phenology_May;Phenology_Jun;Phenology_Jul;Phenology_Aug;Phenology_Sep;Phenology_Oct;Phenology_Nov;Phenology_Dec;Collinaire;Montane;Subalpine;Alpine;Nival;A_B;A_K;A_N;A_NT;A_O;A_OT;A_S;A_ST;A_V;CH_AP;CH_BE;CH_FR;CH_GL;CH_GR;CH_LU;CH_SG;CH_SZ;CH_TI;CH_UR;CH_UW;CH_VD;CH_VS;D_OB;D_SW;F_04;F_05;F_06;F_26;F_38;F_73;F_74;F_83;F_84;FL;I_AO;I_BG;I_BL;I_BS;I_BZ;I_CN;I_CO;I_IM;I_NO;I_PN;I_SO;I_SV;I_TN;I_TO;I_TV;I_UD;I_VA;I_VC;I_VI;I_VR;SLO;Phytosociology;Habitat;Ca;Ca/Si;Si;VeryDry;Dry;Average;Wet;Aquatic;w;f1;f2;f3;f4;f5;f6;f7;f8;f9
124.97.28;124;Asteraceae               ;97;Crepis;28;setosa;;;a;T;N;Y;Medit.;Crepis setosa Haller f.;;;;;;x;x;x;x;;;;2;2;0;0;0;-;-;+;D;-;-;;-;-;-;-;-;-;;;;-;+;-;;+;;-;-;+;+;+;+;+;+;+;-;;-;+;+;-;+;D;+;+;;+;+;+;;+;+;+;+;+;;+;+;+;(Stellarietea mediae);2.1, 2.2, (3.2), 6.2, 6.3.1, (6.7);2;2;2;2;1;0;0;0;0;0;1;2;0;2;4;0;1;2
124.97.19;124;Asteraceae               ;97;Crepis;19;tectorum;;;a;T;N;Y;Eurasiat.;Crepis tectorum L.;;;;;x;x;x;x;;;;;2;2;0;0;0;+;+;+;;-;;;-;-;-;D;+;+;+;-;+;-;+;-;+;-;+;-;-;-;-;-;;+;-;-;-;-;-;;+;-;;+;;+;;;-;+;;+;;;+;;;+;-;+;(Sisymbrion);2.1, 2.2, (2.5.2), 3.1, (3.2);2;2;2;2;1;0;0;0;0;0;1;2;0;2;4;0;1;2
124.97.3;124;Asteraceae               ;97;Crepis;3;terglouensis;;;v;H;Y;Y;E-Alp.;Crepis terglouensis (Hacq.) A. Kern.;;;;;;;x;x;;;;;0;0;1;2;0;-;+;+;+;+;-;+;+;+;;+;;+;+;;+;+;-;+;+;-;+;+;+;-;-;-;-;-;-;-;-;-;+;-;;;-;+;-;;-;-;-;+;-;+;-;-;+;;-;-;-;+;(Thlaspion rotundifolii);(3.2), 3.3, (3.4, 6.5);2;1;0;0;1;2;1;0;0;4;2;0;2;1;0;0;0;0
124.97.27.1;124;Asteraceae               ;97;Crepis;27;vesicaria;1;vesicaria;a, b;T, H;N;Y;Medit.;Crepis vesicaria L. subsp. vesicaria;;;;;x;x;x;;;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;;+;-;+;;;;-;+;;;+;;-;;;-;+;+;(Sisymbrietalia);2.1, 2.2;2;2;2;2;1;0;0;0;0;0;1;2;0;2;4;0;1;2
124.97.27.2;124;Asteraceae               ;97;Crepis;27;vesicaria;2;taraxacifolia;a, b;T, H;N;Y;W-Eur./Medit.;Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell.;;;;;x;x;x;x;x;;;;2;2;0;0;0;-;-;-;+;-;-;-;-;D;-;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;;;+;+;-;;+;;+;+;;+;+;+;;(Sisymbrietalia);2.1, 2.2, (3.2, 3.5, 6.2), 6.3.1;2;2;1;1;2;1;0;0;0;0;2;4;0;1;2;0;0;0
124.97.22;124;Asteraceae               ;97;Crepis;22;zacintha;;;a;T;N;Y;Medit.;Crepis zacintha (L.) Loisel.;;;;;x;x;;;;;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;;;;-;-;+;;-;-;-;-;-;-;-;-;+;-;-;-;;-;;;-;-;-;-;-;-;(Stellarietea mediae);2.1, 2.2, 6.2;2;2;2;1;2;1;0;0;0;0;1;2;0;2;4;0;1;2
124.52.3.2;124;Asteraceae               ;52;Carlina;3;biebersteinii;2;brevibracteata;b, v;H;N;Y;SE-Eur.;Carlina biebersteinii subsp. brevibracteata (Andrae) K. Werner;;;;;;;x;x;x;;;;2;2;1;0;0;-;-;+;-;-;-;-;-;-;;-;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;;;;;-;-;;;;;;;;-;;;;;;+;-;;(Mesobromion);(2.1.2, 2.2), 6.2, 6.7, 9.1.1;2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.83.5;124;Asteraceae               ;83;Leontodon;5;hispidus;;;v;H;N;Y;Eur.;Leontodon hispidus L.;;;;;;x;x;x;x;x;;;2;2;2;2;2;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Arrhenatheretalia elatioris);(2.2, 2.5.2, 3.2, 3.3, 4.1, 5.1), 6.2, 6.3, 6.5.1, (7.1, 9.1.1, 9.1.2);2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.97.14;124;Asteraceae               ;97;Crepis;14;leontodontoides;;;v;H;N;Y;Medit.-Mont.;Crepis leontodontoides All.;;;;;x;x;x;x;x;x;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;;-;;-;-;-;-;-;-;-;(Cistion ladaniferi);(2.1), 2.2, 3.2, 7.4;0;1;2;2;1;0;0;0;0;0;0;0;2;1;0;4;2;0
124.68.5.1;124;Asteraceae               ;68;Centaurea;5;scabiosa;1;scabiosa;v;H;N;Y;Eurasiat.;Centaurea scabiosa L. subsp. scabiosa;;;;;;x;x;x;x;x;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;;+;+;+;;+;+;+;+;+;+;+;;+;+;+;+;+;+;(Festuco-Brometea);(2.1, 2.2, 2.5.2), 6.2, (6.3.1, 6.5.1), 6.7, 7.4.2, (9.1.1, 9.3);2;2;1;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.68.5.2;124;Asteraceae               ;68;Centaurea;5;scabiosa;2;alpestris;v;H;N;Y;S-Eur.-Mont.;Centaurea scabiosa subsp. alpestris (Hegetschw.) Nyman;;;;;;x;x;x;;;;;0;1;2;1;0;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;;;+;+;;;+;+;;+;+;+;+;;-;+;-;+;-;+;;;-;;;+;;-;(Seslerietalia variae);(2.2), 2.6, (3.2, 6.2), 6.5.1, (7.1,) 7.2, 8.2, 9.1.2;2;2;1;1;2;1;0;0;0;2;4;2;1;2;1;0;0;0
124.68.5.3;124;Asteraceae               ;68;Centaurea;5;scabiosa;3;badensis;v;H;N;Y;E-Alp./Carpat.;Centaurea scabiosa subsp. badensis (Tratt.) Gugler;;;;;;x;x;x;x;;;;2;1;0;0;0;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Bromo pannonici-Festucion pallentis);3.2, 6.2, 9.1.1;2;0;0;2;1;0;0;0;0;4;2;0;0;0;0;0;0;0
124.68.1;124;Asteraceae               ;68;Centaurea;1;alpina;;;v;H;N;Y;S-Eur.-Mont.;Centaurea alpina L.;;;;;;x;x;;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;+;;-;-;-;-;;-;-;-;-;+;-;;-;-;-;-;-;-;+;+;+;-;-;;+;+;-;(Seslerio-Xerobromion?);3.2, (3.3), 6.2, (6.7, 7.4.2, 9.1.1, 9.3);2;0;0;1;2;1;0;0;0;4;2;0;0;0;0;0;0;0
124.68.3;124;Asteraceae               ;68;Centaurea;3;dichroantha;;;v;H;N;Y;E-Alp.;Centaurea dichroantha A. Kern.;;;;;;;x;x;x;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;+;(Centaurenion dichroanthae);(2.5.2), 3.2, 3.3, 9.1.1;2;0;0;2;1;0;0;0;0;4;0;0;0;0;0;0;0;0
124.68.4;124;Asteraceae               ;68;Centaurea;4;rupestris;;;v;H;N;Y;SE-Eur.-Mont.;Centaurea rupestris L.;;;;;;x;x;;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;;(Saturejion subspicatae);(3.2, 3.3), 6.2, (6.7, 7.1, 7.4.2);2;0;0;2;1;0;0;0;0;4;0;0;0;0;0;0;0;0
124.68.6;124;Asteraceae               ;68;Centaurea;6;paniculata;;;b;H;N;Y;SW-Eur.;Centaurea paniculata L.;;;;;;x;x;x;x;;;;2;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;;+;+;+;-;;+;-;-;-;-;-;-;;-;+;;-;-;;-;+;-;-;-;;-;-;-;(Brometalia erecti);(2.1.2), 2.2, 2.5.2, 3.2, 6.2, 7.3;2;2;2;2;1;0;0;0;0;1;2;1;2;4;2;1;2;1
124.68.7;124;Asteraceae               ;68;Centaurea;7;leucophaea;;;b;H;N;Y;Medit.;Centaurea leucophaea Jord.;;;;;;x;x;x;x;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;;-;-;+;+;-;-;-;-;-;-;+;-;+;-;-;-;;-;;-;-;-;-;-;-;-;(Festuco-Brometea);(2.2, 2.5.2, 2.6, 3.2), 6.2, 7.3, (9.1.1);2;2;1;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.68.8;124;Asteraceae               ;68;Centaurea;8;stoebe;;;b;H;N;Y;Eurasiat.;Centaurea stoebe L.;;;;;;x;x;x;x;;;;2;2;0;0;0;+;+;+;+;-;+;+;+;-;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;;+;-;+;;;-;-;;;;;+;+;+;+;;;+;+;+;;+;+;+;+;;;-;+;+;(Festucetalia valesiacae);(2.1, 2.2), 3.2, 6.2, 6.7, 7.4.2;2;2;2;2;1;0;0;0;0;1;2;1;2;4;2;1;2;1
124.68.11;124;Asteraceae               ;68;Centaurea;11;calcitrapa;;;b;H;N;Y;Medit.;Centaurea calcitrapa L.;;;;;;;x;x;x;x;;;2;1;0;0;0;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;;+;;-;+;+;+;-;;+;;;;+;;D;+;;;;;-;;-;(Sisymbrietalia);2.1, 2.2, (6.2, 6.3.1);2;2;1;1;2;1;0;0;0;0;2;4;0;1;2;0;0;0
124.68.13;124;Asteraceae               ;68;Centaurea;13;solstitialis;;;b;H;N;;Medit.;Centaurea solstitialis L.;;;;;;x;x;x;x;;;;2;1;0;0;0;-;-;+;;-;-;+;;;-;D;-;-;;-;+;-;+;-;-;;;-;-;+;+;+;+;+;-;-;+;+;-;-;;-;;+;;;;;;-;;-;+;;;;;+;;-;(Stellarietea mediae);2.1, 2.2, (6.3.1, 7.3);2;2;2;1;2;1;0;0;0;0;1;2;0;2;4;0;1;2
124.68.14;124;Asteraceae               ;68;Centaurea;14;splendens;;;b;H;N;Y;S-Eur.;Centaurea splendens L.;;;;;;;x;x;;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;+;-;;;;+;;+;;-;;;;;+;-;+;-;(Festuco-Brometea);(2.1.1), 2.2, 3.1, 3.2, 3.3, 6.2;2;2;2;2;1;0;0;0;0;1;2;1;2;4;2;1;2;1
124.68.10.1;124;Asteraceae               ;68;Centaurea;10;aplolepa;1;ligustica;v;H;N;Y;Medit.;Centaurea aplolepa subsp. ligustica (Briq.) Dostál;;;;;;x;x;x;;;;;1;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;+;-;-;-;;-;-;-;-;-;-;-;-;-;(Asplenion glandulosi);3.2, 7.3;2;0;0;2;1;0;0;0;0;4;2;0;0;0;0;0;0;0
124.68.15;124;Asteraceae               ;68;Centaurea;15;julica;;;v;H;N;Y;E-Alp.;Centaurea julica (Hayek) Soest;;;;;;x;x;x;;;;;0;1;2;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;+;(Caricenion austroalpinae);3.3, 6.5.1;2;1;0;2;1;0;0;0;0;2;1;0;4;2;0;2;1;0
124.68.16.1;124;Asteraceae               ;68;Centaurea;16;jacea;1;jacea;v;H;N;Y;Eur.;Centaurea jacea L. subsp. jacea;;;;;;x;x;x;x;;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;;+;+;+;;+;?;;;+;+;+;;;;+;+;;-;+;;+;;;-;-;+;(Molinio-Arrhenatheretea);(2.2, 2.6, 5.1, 6.2), 6.3, 6.7, 7.4.2, (9.1.1);2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.68.16.2;124;Asteraceae               ;68;Centaurea;16;jacea;2;angustifolia;v;H;N;Y;Eur.;Centaurea jacea subsp. angustifolia Gremli;;;;;;x;x;x;x;x;;;2;1;1;0;0;+;-;+;+;-;-;-;-;?;-;+;+;+;+;;+;+;-;+;+;;+;-;-;+;+;+;;;+;+;+;+;+;?;;;-;-;;;-;;+;-;-;;;;+;;;-;;+;(Mesobromion);(2.1.2), 2.2, 6.2, (6.3.2), 6.7, 7.4.2;2;2;2;0;1;2;1;0;1;2;1;0;4;2;0;2;1;0
124.68.16.3;124;Asteraceae               ;68;Centaurea;16;jacea;3;gaudinii;v;H;N;Y;SE-Eur.-Mont.;Centaurea jacea subsp. gaudinii (Boiss. & Reut.) Gremli;;;;;;x;x;x;;;;;2;2;1;0;0;-;+;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;;;;;;-;?;;;-;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;;(Diplachnion);(2.6, 3.2), 6.2, 6.7, 7.1, 7.4.2, 9.1.1, 9.2.4;1;2;2;2;1;0;0;0;0;2;1;0;4;2;0;2;1;0
124.68.17;124;Asteraceae               ;68;Centaurea;17;decipiens;;;v;H;N;Y;W-Eur.;Centaurea decipiens Thuill.;;;;;x;x;x;x;x;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;+;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Mesobromion);2.6, 6.2, (6.3.1);2;2;2;0;1;2;1;0;1;1;2;1;2;4;2;1;2;1
124.68.16.5;124;Asteraceae               ;68;Centaurea;16;jacea;5;subjacea;v;H;N;Y;E-Eur.;Centaurea jacea subsp. subjacea (Beck) Hyl.;;;;;;x;x;x;;;;;2;2;0;0;0;+;+;+;D;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;(Mesobromion);(2.6), 6.2, 6.3.1;2;2;2;1;2;1;0;0;0;1;2;1;2;4;2;1;2;1
124.68.16.4;124;Asteraceae               ;68;Centaurea;16;jacea;4;macroptilon;v;H;N;Y;E-Eur.;Centaurea jacea subsp. macroptilon (Borbás) Hayek;;;;;;x;x;x;;;;;2;0;0;0;0;+;+;-;-;-;+;;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;-;-;-;;-;-;-;-;;+;-;-;+;;+;(Molinietalia caeruleae);6.3, 6.7, 7.4.2, 9.1.1?;1;2;2;0;1;2;1;0;1;1;2;1;2;4;2;1;2;1
124.68.18;124;Asteraceae               ;68;Centaurea;18;nigrescens;;;v;H;N;Y;SE-Eur.;Centaurea nigrescens Willd.;;;;;;;x;x;x;;;;2;2;2;0;0;+;+;+;+;-;+;-;+;-;;-;-;-;+;;+;+;+;-;;-;+;-;-;;;+;+;+;-;+;-;;;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Arrhenatheretalia elatioris);(2.2), 6.2, 6.3.1, (6.7, 7.4.2, 9.2.2);2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.68.20;124;Asteraceae               ;68;Centaurea;20;thuillieri;;;v;H;N;Y;W-Eur.;Centaurea thuillieri J. Duvign. & Lambinon;;;;;;x;x;x;;;;;2;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;;+;-;-;;;-;-;-;;-;-;;-;;-;;-;;;;;;-;;-;-;-;(Arrhenatheretalia elatioris);(2.2), 6.2, 6.3.1, 6.7, (7.4.2);2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.68.19;124;Asteraceae               ;68;Centaurea;19;nemoralis;;;v;H;N;Y;W-Eur.;Centaurea nemoralis Jord.;;;;;;;x;x;x;;;;2;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;;-;-;-;-;-;-;+;;;-;;;-;-;-;;-;;-;-;-;-;;-;-;;-;-;-;-;;-;-;-;;-;-;-;(Trifolion medii);2.6, 6.2, 6.3.1, 6.7, (7.4.2);1;2;2;0;1;2;1;0;0;0;0;0;1;2;1;2;4;2
124.68.23;124;Asteraceae               ;68;Centaurea;23;pseudophrygia;;;v;H;N;Y;Eur.;Centaurea pseudophrygia C. A. Mey.;;;;;;;x;x;x;;;;1;2;2;0;0;+;+;+;+;+;+;+;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;;+;+;+;-;;-;-;;-;-;-;-;-;+;-;-;+;-;+;(Triseto-Polygonion bistortae);2.2, 6.3.1, 6.4, (6.5), 6.7, 7.4.2, 9.1.2;1;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.68.22;124;Asteraceae               ;68;Centaurea;22;stenolepis;;;v;H;N;Y;SE-Eur.;Centaurea stenolepis A. Kern.;;;;;;;x;x;x;;;;2;2;0;0;0;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Trifolio-Geranietea);(2.6), 6.2, 6.7, 9.2.4, 9.3;2;1;1;0;1;2;0;0;0;4;2;0;2;1;0;0;0;0
124.68.24;124;Asteraceae               ;68;Centaurea;24;uniflora;;;v;H;N;Y;W-Alp./Apen.;Centaurea uniflora Turra;;;;;;;x;x;;;;;0;2;2;1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;;+;+;-;-;;-;+;;-;-;-;+;;+;;-;-;;-;+;-;-;;;-;-;-;(Festucion variae);6.3.1, 6.5.1, (6.7, 7.1, 7.2, 7.4.2);2;2;2;1;2;1;0;0;0;1;2;1;2;4;2;1;2;1
124.68.25.1;124;Asteraceae               ;68;Centaurea;25;nervosa;1;nervosa;v;H;N;Y;S-Eur.-Mont.;Centaurea nervosa Willd. subsp. nervosa;;;;;;;x;x;;;;;0;1;2;1;0;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;+;-;+;+;-;-;+;+;+;+;+;+;+;-;;-;+;+;+;+;+;+;;+;+;+;+;;+;+;+;+;;+;+;+;+;(Festucion variae);6.3.1, 6.5.1, (6.7), 7.1, 8.2;2;2;2;0;1;2;1;0;0;1;2;1;2;4;2;1;2;1
124.68.25.2;124;Asteraceae               ;68;Centaurea;25;nervosa;2;ferdinandii;v;H;Y;Y;W-Alp.;Centaurea nervosa subsp. ferdinandii (Gren.) Nyman;;;;;;;x;x;;;;;0;1;2;1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;+;;;-;-;-;;-;;-;-;-;-;+;-;+;-;-;-;;-;-;-;-;-;-;-;-;-;(Festucion variae);6.3.1, 6.5.1;1;1;2;0;1;2;1;0;0;0;0;0;1;2;1;2;4;2
124.68.27.2;124;Asteraceae               ;68;Centaurea;27;jordaniana;2;balbisiana;v;H;Y;Y;W-Alp.;Centaurea jordaniana subsp. balbisiana (Soldano) Kerguélen;;;;;x;x;x;;;;;;1;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Aphyllanthion);3.2, 6.2, (7.3);2;0;0;2;1;0;0;0;0;4;2;0;0;0;0;0;0;0
124.68.27.3;124;Asteraceae               ;68;Centaurea;27;jordaniana;3;aemilii;v;H;Y;Y;W-Alp.;Centaurea jordaniana subsp. aemilii (Briq.) Kerguélen;;;;;;x;x;;;;;;0;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Aphyllanthion);6.2, (7.3);2;0;0;1;2;1;0;0;0;4;2;0;0;0;0;0;0;0
124.68.27.1;124;Asteraceae               ;68;Centaurea;27;jordaniana;1;jordaniana;v;H;Y;Y;W-Alp.;Centaurea jordaniana Godr. & Gren. subsp. jordaniana;;;;;;x;x;x;;;;;0;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Antirrhinion asarinae);2.6, 3.2, 9.2.4;0;0;2;1;2;1;0;0;0;0;0;0;2;1;0;4;2;0
124.68.27.4;124;Asteraceae               ;68;Centaurea;27;jordaniana;4;verguinii;v;H;Y;Y;W-Alp.;Centaurea jordaniana subsp. verguinii (Briq. & Cavill.) Kerguélen;;;;;;x;x;x;;;;;0;2;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;(Sedo-Scleranthion);(2.6), 3.1, (3.2, 3.3, 6.2, 9.1.1);0;0;2;1;2;1;0;0;0;0;0;0;2;0;0;4;0;0
124.68.28;124;Asteraceae               ;68;Centaurea;28;rhaetica;;;v;H;Y;Y;E-Alp.;Centaurea rhaetica Moritzi;;;;;;x;x;x;;;;;1;2;2;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;+;-;;-;+;-;+;-;-;-;;;-;-;-;(Caricenion austroalpinae);(3.2, 3.3), 6.2, 6.5.1, 7.1, 8.2, 9.1.1;2;1;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
124.68.29;124;Asteraceae               ;68;Centaurea;29;montana;;;v;H;N;Y;Eur.-Mont.;Centaurea montana L.;;;;;x;x;x;x;;;;;1;2;2;0;0;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;;+;?;+;+;+;-;+;;+;;;;;-;+;+;;;;+;-;+;(Calamagrostion arundinaceae);"(2.5.1, 3.2, 3.3), 6.3.1, 6.5.1, 6.7, 7.2, (7.4.2, 8.2), 9.1.2, 9.2.3, (9.2.4), 9.2.5; 2.9.2";2;2;2;0;1;2;1;0;0;2;4;2;1;2;1;0;0;0
124.68.30;124;Asteraceae               ;68;Centaurea;30;triumfettii;;;v;H;N;Y;S-Eur./W-Asiat.;Centaurea triumfettii All.;;;;;x;x;x;x;;;;;2;2;2;0;0;+;+;+;-;-;D;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;+;+;+;+;+;-;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;(Geranion sanguinei);(3.2), 6.2, 6.5.1, 6.7, (7.1, 7.2), 7.4.2, (9.1.1, 9.2.4);2;2;2;1;2;1;0;0;0;2;4;2;1;2;1;0;0;0
124.68.31;124;Asteraceae               ;68;Centaurea;31;cyanus;;;a;T;N;Y;Medit.(-Subcosmop.);Centaurea cyanus L.;;;;;x;x;x;x;x;x;;;2;2;1;0;0;+;+;+;+;+;+;+;+;+;-;+;-;;+;+;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;;+;+;D;+;+;+;;+;+;;+;;+;+;+;+;+;+;+;+;+;(Centaureetalia cyani);2.1, (2.2, 2.5.2);2;2;2;1;2;1;0;0;0;2;1;0;4;2;0;2;1;0
124.68.5.5;124;Asteraceae               ;68;Centaurea;5;scabiosa;5;grinensis;v;H;N;Y;Alp.;Centaurea scabiosa subsp. grinensis (Reut.) Nyman;;;;;;x;x;x;x;;;;2;2;2;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;;+;+;-;+;-;;-;-;-;+;-;;-;;;+;;-;(Diplachnion);(3.2), 6.2;2;1;0;2;1;0;0;0;0;4;2;0;2;1;0;0;0;0
124.68.5.4;124;Asteraceae               ;68;Centaurea;5;scabiosa;4;fritschii;v;H;N;Y;SE-Eur.;Centaurea scabiosa subsp. fritschii (Hayek) Hayek;;;;;;x;x;x;x;;;;2;1;0;0;0;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;+;+;-;-;+;;+;(Saturejion subspicatae);(2.2, 3.2), 6.2, (6.7, 7.4.2, 9.1.1), 9.3;2;2;0;1;2;1;0;0;0;4;2;0;2;1;0;0;0;0
