"","ID_FloraAlpina","SpeciesName","Average.elevation","Flowering.time..initiation.month.","Embryo.Ploidy.summ","Reproductive.mode","Repr_mode_summ","Apomixis_type"
"80","124.48.15.0","Jacobaea_alpina_subsp._alpina",1470,7,"4x","Sexual","Sexual","Sexual"
"81","124.48.16.0","Jacobaea_subalpina",1400,7,"4x","Sexual","Sexual","Sexual"
"82","124.48.18.0","Jacobaea_aquatica",583,6,"4x","Sexual","Sexual","Sexual"
"83","124.48.20.0","Jacobaea_erucifolia",700,6,"4x","Sexual","Sexual","Sexual"
"84","124.48.21.0","Senecio_squalidus_subsp._rupestris",1400,6,"2x","Sexual","Sexual","Sexual"
"85","124.48.2.1","Jacobaea_incana",2410,7,"4x","Sexual","Sexual","Sexual"
"86","124.48.22.0","Jacobaea_abrotanifolia_subsp._abrotanifolia",1890,7,"Poly","Sexual","Sexual","Sexual"
"87","124.48.2.2","Jacobaea_carniolica",2410,7,"Poly","Sexual","Sexual","Sexual"
"88","124.48.26.0","Senecio_viscosus",1050,6,"4x","Sexual","Sexual","Sexual"
"89","124.48.27.0","Senecio_vulgaris",910,1,"4x","Sexual","Sexual","Sexual"
"90","124.48.5.0","Senecio_inaequidens",583,4,"4x","Sexual","Sexual","Sexual"
"91","124.48.6.1","Senecio_nemorensis_subsp._jacquinianus",583,7,"4x","Sexual","Sexual","Sexual"
"92","124.48.8.1","Senecio_ovatus",910,7,"4x","Sexual","Sexual","Sexual"
"93","124.49.1.0","Tephroseris_integrifolia",1250,5,"4x","Sexual","Sexual","Sexual"
"94","124.49.3.0","Tephroseris_integrifolia_subsp._capitata",2100,6,"Poly","Sexual","Sexual","Sexual"
"95","124.49.9.0","Tephroseris_longifolia_subsp._gaudinii",1190,5,"4x","Sexual","Sexual","Sexual"
"96","124.51.2.0","Calendula_arvensis",350,4,"4x","Sexual","Sexual","Sexual"
"97","124.51","Calendula_tripterocarpa",350,4,"4x","Sexual","Sexual","Sexual"
"98","124.52.1.0","Carlina_corymbosa",350,7,"2x","Sexual","Sexual","Sexual"
"99","124.52.2.0","Carlina_vulgaris",910,7,"2x","Sexual","Sexual","Sexual"
"100","124.52.4.1","Carlina_acaulis",1400,6,"2x","Sexual","Sexual","Sexual"
"101","124.52.5.0","Carlina_acanthifolia",1050,7,"2x","Sexual","Sexual","Sexual"
"102","124.53.1.0","Xeranthemum_annuum",350,6,"2x","Sexual","Sexual","Sexual"
"103","124.54.1.0","Echinops_sphaerocephalus",700,7,"2x","Sexual","Sexual","Sexual"
"104","124.54.2.0","Echinops_exaltatus",350,6,"2x","Sexual","Sexual","Sexual"
"105","124.54.3.0","Echinops_ritro",910,7,"2x","Sexual","Sexual","Sexual"
"106","124.55.1.0","Berardia_lanuginosa",1890,7,"4x","Sexual","Sexual","Sexual"
"107","124.56.1.0","Arctium_tomentosum",1050,7,"2x","Sexual","Sexual","Sexual"
"108","124.56.2.0","Arctium_lappa",910,7,"2x","Sexual","Sexual","Sexual"
"109","124.56.3.0","Arctium_minus",910,7,"2x","Sexual","Sexual","Sexual"
"110","124.57.2.1","Saussurea_alpina",2217,7,"4x","Sexual","Sexual","Sexual"
"111","124.58.1.0","Staehelina_dubia",583,5,"2x","Sexual","Sexual","Sexual"
"112","124.59.1.0","Jurinea_mollis",350,5,"2x","Sexual","Sexual","Sexual"
"113","124.60.3.0","Carduus_acanthoides",583,6,"2x","Sexual","Sexual","Sexual"
"114","124.60.4.0","Carduus_personata",1400,7,"2x","Sexual","Sexual","Sexual"
"115","124.60.5.0","Carduus_crispus",910,7,"2x","Sexual","Sexual","Sexual"
"116","124.60.9.0","Carduus_defloratus",1400,7,"2x","Sexual","Sexual","Sexual"
"117","124.60.9.3","Carduus_defloratus_subsp._carlinifolius",1400,7,"2x","Sexual","Sexual","Sexual"
"118","124.60.9.5","Carduus_defloratus_subsp._summanus",1250,7,"2x","Sexual","Sexual","Sexual"
"119","124.6.1.0","Erigeron_annuus",583,6,"2x","Sexual","Sexual","Apo-diplosporous"
"120","124.61.10.0","Cirsium_carniolicum",1190,6,"2x","Sexual","Sexual","Sexual"
"121","124.61.11.0","Cirsium_oleraceum",910,7,"2x","Sexual","Sexual","Sexual"
"122","124.61.12.0","Cirsium_spinosissimum",2100,7,"2x","Sexual","Sexual","Sexual"
"123","124.61.13.0","Cirsium_acaulon",1400,7,"2x","Sexual","Sexual","Sexual"
"124","124.61.14.0","Cirsium_heterophyllum",1190,6,"2x","Sexual","Sexual","Sexual"
"125","124.61.15.0","Cirsium_pannonicum",700,5,"2x","Sexual","Sexual","Sexual"
"126","124.61.17.0","Cirsium_monspessulanum",910,6,"2x","Sexual","Sexual","Sexual"
"127","124.61.19.0","Cirsium_arvense",910,7,"2x","Sexual","Sexual","Sexual"
"128","124.61.3.0","Cirsium_eriophorum",1190,6,"2x","Sexual","Sexual","Sexual"
"129","124.61.4.0","Cirsium_vulgare",910,6,"2x","Sexual","Sexual","Sexual"
"130","124.61.5.0","Cirsium_tuberosum",910,6,"2x","Sexual","Sexual","Sexual"
"131","124.61.6.0","Cirsium_rivulare",700,6,"2x","Sexual","Sexual","Sexual"
"132","124.61.7.0","Cirsium_alsophilum",1190,6,"2x","Sexual","Sexual","Sexual"
"133","124.61.8.0","Cirsium_erisithales",1190,6,"2x","Sexual","Sexual","Sexual"
"134","124.6.2.0","Erigeron_karvinskianus",350,4,"4x","Apomictic","Apomictic","Apo-diplosporous"
"135","124.63.1.0","Onopordum_acanthium",910,7,"2x","Sexual","Sexual","Sexual"
"136","124.6.3.1","Erigeron_acris_subsp._acris",910,6,"2x","Sexual","Sexual","Apo-diplosporous"
"137","124.6.4.0","Erigeron_atticus",1750,7,"2x","Sexual","Sexual","Apo-diplosporous"
"138","124.6.5.0","Erigeron_schleicheri",1470,7,"2x","Sexual","Sexual","Apo-diplosporous"
"139","124.65.1.0","Serratula_tinctoria",1610,7,"2x","Sexual","Sexual","Sexual"
"140","124.65.3.0","Klasea_lycopifolia",700,6,"4x","Sexual","Sexual","Sexual"
"141","124.6.6.0","Erigeron_alpinus",1890,7,"2x","Sexual","Sexual","Apo-diplosporous"
"142","124.67.1.0","Rhaponticum_scariosum",1400,6,"2x","Sexual","Sexual","Sexual"
"143","124.67.2.1","Rhaponticum_heleniifolium_subsp._heleniifolium",1400,6,"2x","Sexual","Sexual","Sexual"
"144","124.67.2.2","Rhaponticum_heleniifolium_subsp._bicknellii",1750,6,"2x","Sexual","Sexual","Sexual"
"145","124.6.8.0","Erigeron_glabratus",1890,7,"2x","Sexual","Sexual","Apo-diplosporous"
"146","124.68.14.0","Centaurea_margaritacea",583,7,"2x","Sexual","Sexual","Sexual"
"147","124.68.16.3","Centaurea_jacea_subsp._gaudinii",910,6,"4x","Sexual","Sexual","Sexual"
"148","124.68.17.0","Centaurea_jacea",700,5,"4x","Sexual","Sexual","Sexual"
"149","124.68.21.0","Centaurea_nigra",910,7,"4x","Sexual","Sexual","Sexual"
"150","124.68.24.0","Centaurea_uniflora",1610,7,"2x","Sexual","Sexual","Sexual"
"151","124.68.25.0","Centaurea_nervosa",1750,7,"2x","Sexual","Sexual","Sexual"
"152","124.68.26.0","Centaurea_pectinata",700,6,"2x","Sexual","Sexual","Sexual"
"153","124.68.28.0","Centaurea_rhaetica",1190,6,"2x","Sexual","Sexual","Sexual"
"154","124.68.29.0","Cyanus_montanus",1190,5,"4x","Sexual","Sexual","Sexual"
"155","124.68.30.0","Cyanus_triumfettii",1050,5,"2x","Sexual","Sexual","Sexual"
"156","124.68.31.0","Cyanus_segetum",910,5,"2x","Sexual","Sexual","Sexual"
"157","124.68.4.0","Centaurea_rupestris",700,6,"2x","Sexual","Sexual","Sexual"
"158","124.68.5.2","Centaurea_scabiosa_subsp._alpestris",1750,6,"4x","Apomictic","Mixed","Sexual"
"159","124.68.5.5","Centaurea_scabiosa_subsp._grinensis",1050,6,"2x","Sexual","Sexual","Sexual"
"160","124.68.7.0","Centaurea_leucophaea",700,6,"2x","Sexual","Sexual","Sexual"
"161","124.68.9.0","Centaurea_valesiaca",910,7,"2x","Sexual","Sexual","Sexual"
